f_1,f_2,f_3,f_4,f_5,x_1,x_2
-5.9889917318689445,-2.799608391601954,-6.318423052296428,-3.5186884910457326,0.19546306007873582,0.8453708069907245,0.8454630600787358
-6.1132925372882525,-2.8176814604011433,-5.6721830921775025,-2.5655079967308425,0.25012887105209325,0.9001288710520933,0.7014687538961216
-5.674973400033482,-2.781216341695869,-7.006812158514336,-6.820661277043636,0.312390751731907,0.7070367401028554,0.962390751731907
-5.540795957283144,-2.7752825039276243,-7.150598382765816,-11.586695853744374,0.34983072453979147,0.6479277344859662,0.9998307245397915
-5.649026265617986,-2.8406068121999954,-7.03863778755961,-1.92,0.35000000000000003,0.6956062844132096,0.3
-4.949214637119709,-2.7749570254624873,-7.454667849052795,-4.184526535160963,0.262680776599247,0.38731922340075303,0.8901021700670876
-6.34,-2.805839477648577,-0.32111111111111956,-5.890338492213782,0.35,1.0,0.9461961755309632
-4.755238869933294,-2.762436133867239,-7.499201138048051,-11.204065222650542,0.34814187541420516,0.3018673435829487,0.9981418754142052
-5.535689635512752,-2.82329025685163,-7.155178384492334,-2.092346872415212,0.1578585076380568,0.6456782535298466,0.4921414923619432
-6.34,-2.8594140882771266,-0.32111111111111956,-1.9683166703280972,0.35,1.0,0.37137333084730834
-5.638197249562325,-2.8142206271517094,-7.051281530606438,-2.2951901511601807,0.04090125002547651,0.6908357927587335,0.6090987499745235
-6.045253537719655,-2.7874297424163976,-6.076772311783127,-11.626666666666658,0.35,0.8701557434888347,1.0
-6.34,-2.8011766697517877,-0.32111111111111956,-11.591578641032637,0.35,1.0,0.9998514728174543
-4.751,-2.7622704609786406,-7.500000000000001,-11.47524177547309,0.35000000000000003,0.3,0.999351766746315
-4.811988225506027,-2.824550107773085,-7.48783728154063,-1.9365267405256317,0.32313294030571543,0.3268670596942846,0.3269923577337936
-6.218069223967617,-2.7941806349010863,-4.560417546007605,-11.493659864287235,0.3494316308292218,0.9462860017478487,0.9994316308292218
-5.988349808738112,-2.8371025809394914,-6.320829069255539,-2.047182585843495,0.19508802147053395,0.845088021470534,0.4549545568916967
-6.070235081501013,-2.84494024273747,-5.945648751657478,-1.9850094786067098,0.25830714192673887,0.8811608288550717,0.39169285807326115
-5.593494687310686,-2.8059791406587835,-7.099873978647221,-2.5015027234801064,0.03354302797906772,0.6711430340575708,0.6835430279790677
-5.38263951011667,-2.7792223738684134,-7.270375280213006,-4.948473952062228,0.2715782325002585,0.5782552908002951,0.9215782325002585
-6.0110137024295325,-2.788919368340068,-6.231466680279441,-7.414412745756886,0.3201878929135701,0.8550721156077234,0.9701878929135701
-5.431183399718079,-2.8069112349713423,-7.237971893408803,-2.3787039287397658,0.05035973580701392,0.5996402641929861,0.6429043816124139
-5.4321666787925,-2.806082693276023,-7.237279844251996,-2.402370359661567,0.04992657321916294,0.6000734267808371,0.6514820938760194
-5.428816926813031,-2.8075621629560437,-7.239631388577127,-2.3600747791715824,0.05140223488412721,0.5985977651158728,0.6358634592917574
-5.430378151497092,-2.806625714000076,-7.238537536802177,-2.386161826828976,0.05071447070612689,0.5992855292938731,0.6456505310545285
-6.1792007775061535,-2.817166566006776,-5.077492613981361,-2.6976025101275947,0.27916333810843763,0.9291633381084377,0.7331538789859278
-5.429814955589102,-2.807246652466118,-7.238932561799987,-2.368947355493703,0.050962574630351365,0.5990374253696487,0.6392497655112503
-5.4317623080272615,-2.806390199685471,-7.23756462729818,-2.3934414474673864,0.050104710120149276,0.5998952898798507,0.648292429278387
-5.429941342365524,-2.8060418510971106,-7.238843956444203,-2.4023807208731793,0.05090689763633338,0.5990931023636666,0.6514857632449245
-5.429435457835223,-2.8067886770098704,-7.239198467835257,-2.3811912619216256,0.05112975425761135,0.5988702457423887,0.6438247755606221
-6.271245693451744,-2.800439972033314,-3.4658850015158977,-6.566684591972329,0.31971175922984296,0.969711759229843,0.9585279416723131
-5.431594693112917,-2.8063864280447115,-7.2376825984932545,-2.393461742177988,0.05017854928946408,0.5998214507105359,0.6482997420942231
-5.4314295286309955,-2.806602998035,-7.237798802823169,-2.3873233599363033,0.050251308973129905,0.5997486910268701,0.6460746049445161
-5.430411804015115,-2.8062554614133712,-7.238513917605333,-2.3965485125176293,0.05069964580831943,0.5993003541916806,0.649408641212244
-5.432363398956976,-2.806255108143147,-7.237141210765871,-2.3975637885050523,0.049839912353754845,0.6001600876462452,0.6497719186392629
-5.430551525089875,-2.8067767323828714,-7.23841583509911,-2.3820774535977947,0.050638094674064105,0.5993619053259359,0.6441516005251061
-5.430238964553094,-2.806516038748854,-7.238635207489744,-2.3891414952882384,0.05077578654048731,0.5992242134595127,0.6467364628797067
-5.430330105913164,-2.8063569967066737,-7.238571254845344,-2.3936425548614846,0.05073563616160204,0.599264363838398,0.648364881751939
-5.431711275311849,-2.8061042505313245,-7.237600549854483,-2.401517518294092,0.05012719149257783,0.5998728085074222,0.6511798127274279
-5.4295192344765795,-2.8067196401179757,-7.239139786226718,-2.3831329657520417,0.05109284824820304,0.598907151751797,0.6445401234972311
