f_1,f_2,f_3,f_4,f_5,x_1,x_2
-5.649061627931064,-2.8406075435049165,-7.038595903114819,-1.92,0.35000000000000003,0.6956218625246978,0.3
-6.34,-2.8594141554334978,-0.32111111111111956,-1.9683159701494806,0.35,1.0,0.3713724407319488
-6.218189166521251,-2.794185864662887,-4.558540550283837,-11.494868619370916,0.349436862216953,0.9463388398772028,0.999436862216953
-6.259239997147471,-2.8593797929671436,-3.769404292386926,-1.92,0.35000000000000003,0.9644229062323663,0.3
-5.5366326164989275,-2.823291729587566,-7.154336778185904,-2.0925880482772636,0.157675127316249,0.6460936636559149,0.492324872683751
-5.592805355922459,-2.8059818052390817,-7.100580879648641,-2.5009422516201836,0.033377317040066634,0.6708393638424927,0.6833773170400667
-6.271190478745385,-2.800437044525959,-3.467379898678203,-6.566588150391364,0.3196874355706544,0.9696874355706544,0.9585264053004351
-6.045252318127554,-2.7874297029508406,-6.076778304592365,-11.626666666666658,0.35,0.8701552062235921,1.0
-5.675027062661686,-2.781214558174881,-7.006743993984474,-6.822952673171298,0.31242401151837973,0.7070603800271742,0.9624240115183798
-4.812146331597921,-2.824553474212493,-7.487803831083072,-1.9365171212437011,0.32306329004496886,0.32693670995503116,0.3269775498799386
-4.755003925695632,-2.7624245522893043,-7.499245592836425,-11.224878606654272,0.3482370552167736,0.3017638439187804,0.9982370552167736
-4.751,-2.762270446579081,-7.500000000000001,-11.475280734519107,0.35000000000000003,0.3,0.9993519359816304
-5.6384975294389195,-2.814232391550122,-7.050935771315553,-2.2950606642993963,0.040968074642695695,0.6909680746426957,0.6090415026070426
-6.34,-2.8011766778571423,-0.32111111111111956,-11.591556203092924,0.35,1.0,0.9998513775171805
-6.34,-2.805839392954433,-0.32111111111111956,-5.890384243305682,0.35,1.0,0.9461971303120111
-4.751,-2.825395010394849,-7.500000000000001,-1.9200000000014943,0.35000000000000003,0.3,0.30000000000259447
-5.988423023328635,-2.8370844297233138,-6.320555000726058,-2.0474441386875366,0.1951202745941123,0.8451202745941123,0.45518790906889384
-4.94867950463297,-2.7749271315772,-7.454814517122532,-4.189060910292748,0.2629165177828326,0.38708348221716743,0.8903369815609716
